DfilX DfilY DfilZ DfilQ1 DfilQ2 DfilQ3 DfilQ4 DfildX DfildY DfildZ DfildQ1 DfildQ2 DfildQ3 DfildQ4 w1 w2 w3 fF fL fB fR Eul0 Eul1 Eul2 Fpwm Lpwm Bpwm Rpwm My
-0.289098 0.059478 0.905827 0.999751 0.013753 -0.012908 0.011918 -0.032465 0.027834 0.013753 -0.003223 -0.071512 -0.216618 0.184350 -0.143304 -0.426436 0.376489 0.000000 0.000000 15.042952 0.000000 0.023486 -0.026141 0.027205 1000000.000000 1000000.000000 1842405.000000 1000000.000000 4.525771
-0.288389 0.061331 0.905501 0.999843 0.006273 -0.009423 0.013664 -0.001019 0.039335 0.015901 -0.000981 -0.097183 0.206365 0.077401 -0.187226 0.416274 0.154048 14.120958 0.000000 0.879042 0.000000 0.027213 -0.019016 0.012289 1790773.000000 1000000.000000 1049226.000000 1000000.000000 -3.972575
-0.287539 0.063188 0.905017 0.999865 -0.001049 -0.004929 0.015660 0.024149 0.042708 -0.001978 0.002280 -0.123221 0.341856 0.020039 -0.235500 0.687459 0.041933 18.793935 0.000000 0.000000 0.000000 0.031332 -0.009823 -0.002253 2052460.000000 1000000.000000 1000000.000000 1000000.000000 -6.776361
-0.286641 0.065078 0.904696 0.999814 -0.008308 -0.000384 0.017380 0.024127 0.043298 0.006777 0.000972 -0.153408 0.369803 -0.012154 -0.293898 0.745005 -0.018075 19.908755 0.000000 0.000000 0.000000 0.034767 -0.000480 -0.016628 2114890.000000 1000000.000000 1000000.000000 1000000.000000 -7.445253
-0.285973 0.065950 0.904629 0.999834 -0.010145 0.003543 0.014692 0.028900 0.041381 0.007705 0.000295 -0.124055 0.396030 -0.068893 -0.235939 0.796970 -0.130615 20.905887 0.000000 0.000000 0.000000 0.029312 0.007383 -0.020185 2170729.000000 1000000.000000 1000000.000000 1000000.000000 -8.043532
-0.285244 0.066489 0.904586 0.999786 -0.012263 0.010287 0.013093 0.033964 0.026158 0.007203 -0.001635 -0.172545 0.520523 -0.013508 -0.331148 1.045708 -0.017750 25.000000 0.000000 0.000000 0.000000 0.025937 0.020892 -0.024260 2400000.000000 1000000.000000 1000000.000000 1000000.000000 -10.665993
-0.284354 0.066919 0.904395 0.999725 -0.013357 0.015931 0.010852 0.033271 0.005831 -0.010066 -0.005023 -0.074673 0.280152 -0.039892 -0.142087 0.562997 -0.074549 17.419107 0.000000 0.000000 0.000000 0.021286 0.032150 -0.026377 1975470.000000 1000000.000000 1000000.000000 1000000.000000 -5.951464
-0.283387 0.067272 0.904347 0.999622 -0.014533 0.022001 0.007846 0.040286 -0.000942 0.001063 -0.006561 -0.077585 0.322680 -0.097867 -0.145932 0.649467 -0.189592 19.061592 0.000000 0.000000 0.000000 0.015061 0.044228 -0.028742 2067449.000000 1000000.000000 1000000.000000 1000000.000000 -6.936955
-0.282287 0.067509 0.904136 0.999462 -0.016590 0.027724 0.005668 0.048905 -0.006338 -0.008941 -0.008181 -0.096473 0.283460 -0.037906 -0.187797 0.569419 -0.071622 17.917567 0.000000 0.000000 0.000000 0.010427 0.055635 -0.032905 2003383.000000 1000000.000000 1000000.000000 1000000.000000 -6.250540
-0.281609 0.067261 0.903957 0.999338 -0.019049 0.030437 0.005875 0.044318 -0.018123 -0.009604 -0.008452 -0.144739 0.205404 0.018431 -0.288317 0.412050 0.035953 15.385735 0.000000 0.000000 0.000000 0.010602 0.061095 -0.037795 1861601.000000 1000000.000000 1000000.000000 1000000.000000 -4.731441
